Turbine_ID,Turbine_Type,Max_Capacity_MW,Efficiency,Age_Years,Energy_Produced_MWh,Fuel_Consumption_m3,CO2_Emissions_kg,Injected_Power_MW,Injection_Time,Losses_Percentage,Connection_Point,Real_Time_Demand_MW,Demand_Variability,Area_Served,Operating_Hours_per_Day,StartUp_Time_Min,Shutdown_Time_Min,Downtime_Hours,temp,Humidity_Percentage,Wind_Speed_m_s,Load_Factor,Maintenance_Cost_Year,Operational_Cost_per_Hour,Heat_Rate_BTU_kWh,Availability,Reliability,Timestamp,,,,,,
GT1,gas,108.8031505,35.17690524,5,35.00954228,158.8381194,794.1905971,33.95653164,00:00-00:15,3.139283295,North,36.64282256,0.026452236,CityA,17,5,10,1,31.8062701,60.30756287,1.018150659,0.321769564,5487.928328,34.96826569,8257.743155,95.78812338,97.66320525,1/1/2019 0:15,,,,,,
GT2,gas,88.88044053,30.96625935,4,25.23411292,80.4529196,402.264598,22.98021682,00:00-00:15,3.869060356,North,19.14092575,0.027778945,CityA,20,8,6,4,17.10042059,31.46707308,0.953191335,0.283910754,14262.97882,34.38889944,8661.922081,95.49267678,96.8292366,1/1/2019 0:15,,,,,,0
GT3,gas,96.15586327,35.99144432,1,32.74354179,162.6512759,813.2563796,32.23203795,00:00-00:15,1.971506408,North,30.48439559,0.029971506,CityA,20,8,9,4,17.99680471,56.76636017,0.890601613,0.340525691,12569.35732,34.12329896,8663.334032,95.1032176,95.16977945,1/1/2019 0:15,,,,,,
GT4,gas,108.3598338,31.42010181,5,27.83049701,108.6657141,543.3285705,25.20697887,00:00-00:15,4.037719515,North,29.32087574,0.031542652,CityA,15,5,6,4,22.19571794,68.20100504,0.054186526,0.256834069,11895.76747,30.97608435,8733.543826,95.08817748,95.53232069,1/1/2019 0:15,,,,,,
GT5,gas,93.72748163,37.07814698,4,29.86159728,143.2396988,716.1984941,27.38191586,00:00-00:15,1.637760257,North,31.76518119,0.030004984,CityA,23,13,14,4,21.00602676,51.78937992,0.974702728,0.318600231,13882.02581,38.00892612,8017.109534,96.87467809,96.44583354,1/1/2019 0:15,,,,,,
GT6,gas,85.09158847,36.17282679,5,28.70108345,128.0787052,640.393526,28.36950456,00:00-00:15,4.151723022,North,31.62921488,0.024826117,CityA,23,6,8,4,32.53199561,35.84788056,3.637090936,0.337296365,6524.857498,48.39260908,8111.061394,98.17182303,98.24965372,1/1/2019 0:15,,,,,,
ST1,steam,76.5039417,25.36015513,5,16.01385305,47.59050825,237.9525413,15.84459247,00:00-00:15,4.660492017,North,18.90565573,0.040251718,CityA,15,13,9,0,27.06340468,61.21328957,0.933780511,0.209320627,11545.65293,47.03003238,8166.871914,98.54355636,98.51914032,1/1/2019 0:15,,,,,,
ST2,steam,93.28335817,33.49499172,3,29.56685193,95.85364172,479.2682086,27.72917619,00:00-00:15,1.811597799,North,29.34945607,0.0276247,CityA,21,12,6,0,20.26529205,51.2056938,1.021904569,0.316957414,8844.581555,21.41981594,8102.623022,96.66153926,98.83221103,1/1/2019 0:15,,,,,,
ST3,steam,71.74535818,31.63271754,5,20.30961992,60.73820966,303.6910483,19.54707104,00:00-00:15,1.610040067,North,21.99670707,0.01514242,CityA,21,8,10,1,20.30998373,63.6126258,2.503515408,0.283079218,12955.5643,30.22777674,8374.406473,98.37119381,98.20560894,1/1/2019 0:15,,,,,,
ST4,steam,84.25350768,29.27718901,5,22.49134252,66.77726321,333.886316,20.29320591,00:00-00:15,4.132878237,North,22.52585185,0.049027448,CityA,17,11,6,2,29.79715724,69.43461787,4.232501665,0.266948441,8984.567911,20.32503584,8431.45773,98.32599277,98.41333162,1/1/2019 0:15,,,,,,
GT1,gas,94.66719408,32.43956629,3,28.81973906,110.5982882,552.9914408,26.49938777,00:00-00:15,4.637630769,North,27.70968225,0.048207394,CityA,19,11,10,2,26.63187404,58.12123259,2.664629608,0.304432167,11630.96815,42.90679093,8364.289253,95.91962683,98.78319594,1/1/2019 0:30,,,,,,
GT2,gas,103.7769428,34.39935954,2,31.83379615,138.9337376,694.6686881,31.11656978,00:00-00:15,1.849629337,North,34.22772132,0.041228267,CityA,19,9,8,2,22.29256727,39.4959806,3.559197641,0.30675211,13671.07139,31.89565554,8994.491423,97.80120325,97.18369835,1/1/2019 0:30,,,,,,
GT3,gas,89.40933941,36.57516902,3,31.46813199,113.1384993,565.6924964,28.34402708,00:00-00:15,3.914927873,North,28.75479033,0.012391881,CityA,22,7,14,0,23.41408754,33.33212075,2.806035035,0.35195576,10868.59464,36.02870428,8822.475573,96.22125757,95.61183389,1/1/2019 0:30,,,,,,
GT4,gas,113.2536134,35.31051025,2,32.1509725,100.5009732,502.5048661,29.38129889,00:00-00:15,1.809924327,North,30.20356557,0.023230221,CityA,17,5,6,3,16.32131268,38.39969969,0.290743917,0.283884739,11646.00229,24.22639085,8235.295357,97.29516153,98.99217539,1/1/2019 0:30,,,,,,
GT5,gas,115.8446267,34.062159,5,34.46468872,128.0161404,640.0807021,31.29446237,00:00-00:15,1.377063666,North,28.47276422,0.026003287,CityA,16,11,7,3,31.47067478,36.51588281,4.468092311,0.297507875,9415.94288,21.17602493,8224.673318,98.45106837,98.302432,1/1/2019 0:30,,,,,,
GT6,gas,119.9944308,38.14569785,1,45.05085169,145.4587593,727.2937966,44.6043458,00:00-00:15,3.527603478,North,45.63484308,0.030294302,CityA,17,9,12,4,23.13695631,43.1834053,2.806013291,0.375441188,10500.27264,39.18018045,8842.882965,98.83499584,95.30201531,1/1/2019 0:30,,,,,,
ST1,steam,95.89402914,27.18700341,5,25.85931357,66.11170554,330.5585277,24.41861747,00:00-00:15,3.482477028,North,24.81809312,0.045973655,CityA,16,6,11,2,24.22684575,45.61437228,0.497102301,0.269665523,12557.64094,43.44226347,8094.817333,98.46810835,95.40410026,1/1/2019 0:30,,,,,,
ST2,steam,73.7448995,28.6421537,1,20.48106205,72.04116155,360.2058078,19.82460187,00:00-00:15,3.26426253,North,22.91360871,0.048734746,CityA,23,6,14,4,20.49398674,53.15049275,0.155699408,0.277728523,14435.22894,35.1182709,8593.599878,98.35880316,98.7272386,1/1/2019 0:30,,,,,,
ST3,steam,79.32007822,34.71047886,1,23.88821948,64.54100125,322.7050062,21.61784002,00:00-00:15,4.471375927,North,18.02987175,0.042087245,CityA,23,7,13,3,27.4713806,51.97195039,1.637876155,0.301162329,8824.859445,48.89754522,8822.265797,95.18386459,96.21046506,1/1/2019 0:30,,,,,,
ST4,steam,96.2801312,34.69162541,5,32.99065397,87.25868989,436.2934495,30.1587865,00:00-00:15,4.378955269,North,28.74320673,0.013560529,CityA,23,7,8,1,32.18933899,44.02438984,1.070056823,0.342652773,6105.7933,39.57404782,8540.179974,95.94474063,98.29060892,1/1/2019 0:30,,,,,,
GT1,gas,83.82819346,39.5383335,4,27.67396566,113.6094086,568.0470428,25.65489158,00:00-00:15,4.225635649,North,25.31139631,0.010252181,CityA,17,8,14,0,16.5342932,45.06823562,2.940479343,0.330127187,9956.114481,33.41140383,8885.285567,95.87655444,97.36901968,1/1/2019 0:45,,,,,,
GT2,gas,87.82461438,36.44959679,1,29.53527438,101.1051477,505.5257387,28.2188366,00:00-00:15,2.371917573,North,28.88330501,0.028039144,CityA,18,11,7,3,17.22013847,49.82253019,2.724618347,0.336298367,8112.504067,25.9743512,8399.134682,98.95698995,96.72611106,1/1/2019 0:45,,,,,,
GT3,gas,91.44240378,34.15812094,5,29.38962896,106.4770628,532.3853139,28.6097136,00:00-00:15,2.924501552,North,30.20468849,0.046779325,CityA,15,9,6,2,30.27005909,46.76097365,2.902329044,0.321400442,14087.44503,25.23743708,8009.903152,96.75881709,98.56746308,1/1/2019 0:45,,,,,,
GT4,gas,112.4350222,34.08367827,1,31.25975214,136.2344277,681.1721383,30.83779916,00:00-00:15,2.152959136,North,28.73085667,0.016882354,CityA,15,11,13,0,18.0993549,52.15079264,4.596185911,0.278025045,5957.218413,43.53622483,8472.297141,97.89613659,96.93190553,1/1/2019 0:45,,,,,,
GT5,gas,96.7061153,33.62434938,2,32.16567511,106.4465598,532.2327988,32.16565932,00:00-00:15,1.724944309,North,29.73213542,0.038476858,CityA,23,9,11,0,20.36464997,51.65992544,4.856124114,0.332612628,7644.907772,26.2332312,8461.471924,97.12558046,96.48787869,1/1/2019 0:45,,,,,,
GT6,gas,102.4555771,31.40961451,1,29.62665661,106.1229505,530.6147527,28.91339133,00:00-00:15,2.54470289,North,33.65616075,0.040051935,CityA,23,6,13,2,25.46791873,32.53656506,4.641385827,0.289165875,13542.79912,34.11333339,8776.029306,96.46092101,96.003855,1/1/2019 0:45,,,,,,
ST1,steam,61.37983587,30.79120579,2,18.7973809,58.80725046,294.0362523,18.24954995,00:00-00:15,1.789900784,North,14.91923871,0.015064883,CityA,20,11,7,3,24.42140964,49.03323176,2.47001311,0.306246842,10682.15275,25.34994394,8353.292712,95.14690252,96.01167059,1/1/2019 0:45,,,,,,
ST2,steam,94.19478313,29.69090015,2,22.70291631,83.35410537,416.7705269,20.85725614,00:00-00:15,3.359534017,North,25.18034702,0.034789912,CityA,16,14,13,4,31.42270598,40.88901097,3.625052859,0.241020952,12392.26204,37.30959693,8110.259301,95.88457539,97.4465685,1/1/2019 0:45,,,,,,
ST3,steam,98.41439617,27.41852587,5,21.95527814,48.51389986,242.5694993,21.69984717,00:00-00:15,1.526232737,North,20.82926175,0.032632368,CityA,23,7,5,1,32.96279452,55.15046892,0.102469688,0.223090107,11255.39544,26.84446004,8562.869658,95.40385796,98.16158521,1/1/2019 0:45,,,,,,
ST4,steam,98.30628009,27.83990556,5,22.52908324,73.05833569,365.2916785,21.33017025,00:00-00:15,3.557041487,North,16.76260741,0.012354286,CityA,21,12,10,3,34.87455794,34.52708746,2.081663396,0.229172371,8163.726014,48.82476481,8211.446616,95.74448166,95.96345119,1/1/2019 0:45,,,,,,
GT1,gas,112.0863437,38.93478784,2,36.60319344,166.5431038,832.7155192,35.79937463,00:00-00:15,4.820704044,North,39.17009345,0.035064368,CityA,15,12,7,0,25.74342506,44.12483866,0.822363015,0.326562472,11120.66068,32.57809372,8471.41987,96.95695449,98.9018205,1/1/2019 1:00,,,,,,
GT2,gas,93.5725152,38.89497017,1,29.64255851,109.5104953,547.5524765,27.84513414,00:00-00:15,3.052187306,North,26.08234721,0.046557169,CityA,16,7,6,3,30.90056838,35.10992253,4.322262968,0.316787023,7042.669986,25.39015169,8451.158642,95.0119637,98.88400435,1/1/2019 1:00,,,,,,
GT3,gas,83.53822237,35.5661884,5,27.20510629,83.35098479,416.7549239,26.49990383,00:00-00:15,4.763145217,North,24.21934327,0.04977972,CityA,19,10,6,3,27.76617688,33.30170569,2.211858976,0.325660584,12152.30344,48.28112006,8673.925802,97.14197779,96.12716974,1/1/2019 1:00,,,,,,
GT4,gas,118.6071578,30.2467071,4,33.88079161,107.3090156,536.5450782,33.647574,00:00-00:15,3.531092717,North,30.31731565,0.03484984,CityA,20,6,11,2,32.01860085,59.49209709,0.436820502,0.285655539,9597.731524,21.59518592,8077.627364,96.41095385,98.34848396,1/1/2019 1:00,,,,,,
GT5,gas,104.2469761,30.46108559,3,30.18331674,112.9835905,564.9179525,28.76454218,00:00-00:15,1.679088951,North,31.49046752,0.016463554,CityA,19,6,6,3,27.93755473,68.0698877,1.021448949,0.289536616,13914.93469,30.84097948,8665.874836,95.75517038,97.94455241,1/1/2019 1:00,,,,,,
GT6,gas,80.5447836,34.71750303,5,26.22943113,114.7791165,573.8955826,24.22239794,00:00-00:15,4.728360103,North,21.17828223,0.022414099,CityA,16,6,14,3,21.41621022,33.11354674,1.381453644,0.325650277,13858.38831,42.96206829,8157.54045,98.95273274,96.8846843,1/1/2019 1:00,,,,,,
ST1,steam,61.8513935,25.09672179,4,12.58379975,27.35661549,136.7830774,12.39693978,00:00-00:15,3.645218572,North,16.85284292,0.04737289,CityA,21,8,7,3,16.12249106,56.87126683,3.601712652,0.203452162,12436.22573,25.6289465,8145.179991,98.84603511,97.58414541,1/1/2019 1:00,,,,,,
ST2,steam,52.1328108,32.6626207,1,14.41543886,57.50162529,287.5081264,12.97563857,00:00-00:15,4.378587061,North,12.89446887,0.043450825,CityA,18,12,9,4,20.84295966,38.06467881,0.826651412,0.276513747,5479.230785,47.43255371,8159.814129,95.28985988,95.62369893,1/1/2019 1:00,,,,,,
ST3,steam,62.41513092,28.81036411,2,15.31472364,48.95390962,244.7695481,15.13779806,00:00-00:15,3.454560063,North,19.11481748,0.014521134,CityA,23,9,10,3,31.42687539,60.82079928,1.702319073,0.245368766,11286.93824,38.34820433,8887.349738,96.50846474,95.54839876,1/1/2019 1:00,,,,,,
ST4,steam,61.80794811,26.04763364,3,16.06386375,51.68417196,258.4208598,15.00356563,00:00-00:15,4.59159787,North,16.26288717,0.045264928,CityA,20,5,12,0,29.15051075,34.95817189,0.347293127,0.259899645,13162.22941,27.89820318,8721.638147,98.1454365,95.48758347,1/1/2019 1:00,,,,,,
GT1,gas,107.1597083,38.55869764,2,33.90669368,122.8542834,614.2714169,32.48372254,00:00-00:15,4.027629375,North,35.74716599,0.013862594,CityA,20,5,11,3,27.44358534,35.49889904,1.558364852,0.31641271,13915.79069,21.62738186,8645.891601,95.25015716,96.03231552,1/1/2019 1:15,,,,,,
GT2,gas,116.0467452,31.92794921,5,31.55064811,155.4752798,777.3763989,29.36836638,00:00-00:15,3.803852575,North,30.10346563,0.031950206,CityA,16,8,9,4,17.37856422,60.12427347,1.103357891,0.271878785,13665.60846,29.18040944,8183.16548,98.97088812,95.77606293,1/1/2019 1:15,,,,,,
GT3,gas,92.1895676,35.7953636,3,26.8298136,108.4462486,542.231243,25.59147129,00:00-00:15,2.089857716,North,21.25430468,0.031920765,CityA,22,9,7,2,29.32796764,42.12313705,1.169598059,0.291028739,10748.39451,22.59243368,8972.83269,95.94089473,95.75018408,1/1/2019 1:15,,,,,,
GT4,gas,96.10637877,32.62592527,5,30.15677938,96.96540765,484.8270383,30.06530555,00:00-00:15,3.605844868,North,31.16118746,0.037846517,CityA,17,13,12,2,34.3517131,38.55024226,3.283917647,0.313785409,11148.25879,21.39041153,8041.151081,97.65236644,96.57322044,1/1/2019 1:15,,,,,,
GT5,gas,112.4447986,30.27585226,4,31.74210425,148.6908846,743.454423,31.12985652,00:00-00:15,2.563799562,North,35.3571706,0.037314226,CityA,18,12,9,3,19.21463364,50.41327876,4.965385555,0.282290552,13658.39266,23.09230798,8115.082481,96.05183347,96.31748068,1/1/2019 1:15,,,,,,
GT6,gas,96.0623997,35.49575291,4,33.41760285,128.9555118,644.7775589,31.33704877,00:00-00:15,4.386620193,North,26.42500976,0.029482537,CityA,17,12,13,4,31.94521233,32.02110856,3.82131815,0.347873913,7241.370134,49.25459437,8402.669663,98.73363367,95.55520642,1/1/2019 1:15,,,,,,
ST1,steam,88.68663491,33.50293576,5,28.48929309,102.8804723,514.4023613,25.73600964,00:00-00:15,3.696935761,North,25.63770543,0.015021866,CityA,20,12,6,2,15.99307691,36.52391907,1.019044284,0.321235473,9523.36643,21.11935252,8567.088354,97.11423092,97.72660621,1/1/2019 1:15,,,,,,
ST2,steam,98.47607085,30.27093101,4,25.04360079,51.60243948,258.0121974,23.10202896,00:00-00:15,3.563843873,North,24.22883599,0.04786165,CityA,15,10,10,1,32.68556692,43.73324981,4.843824192,0.254311535,14197.95864,39.22653931,8668.622733,97.56409558,97.70338708,1/1/2019 1:15,,,,,,
ST3,steam,60.01682171,32.846427,4,19.08264113,44.18346806,220.9173403,18.05825586,00:00-00:15,3.310418696,North,22.81373205,0.043938054,CityA,17,14,11,0,28.42996076,61.62594285,3.010533538,0.317954876,14689.5834,21.926006,8876.481205,98.3202303,95.89818582,1/1/2019 1:15,,,,,,
ST4,steam,69.28867556,28.49128585,3,19.39205615,53.93542738,269.6771369,17.52414989,00:00-00:15,4.533575847,North,13.84157719,0.02355495,CityA,20,13,6,0,28.35518555,47.30514877,4.834302792,0.279873385,11528.10922,40.09569661,8118.128812,98.79583743,98.90970926,1/1/2019 1:15,,,,,,
GT1,gas,86.46165478,36.80499505,4,30.25215596,145.6469879,728.2349393,27.26793941,00:00-00:15,2.75237333,North,26.53119432,0.0285221,CityA,20,7,14,4,20.68135488,46.80798978,4.742783367,0.349891013,7293.344648,33.28695374,8544.365128,95.70148646,98.84593966,1/1/2019 1:30,,,,,,
GT2,gas,109.7247817,30.76179441,2,28.82796919,109.4483208,547.2416039,26.97780693,00:00-00:15,3.221883493,North,28.62706127,0.049601909,CityA,16,11,14,3,15.25307364,49.22324577,3.369250688,0.262729793,13705.3388,47.05405348,8594.021934,98.24990007,97.1034826,1/1/2019 1:30,,,,,,
GT3,gas,94.05047355,31.52229112,1,26.6553281,130.4238253,652.1191263,26.34486077,00:00-00:15,4.473809641,North,23.14455654,0.013944585,CityA,21,11,13,3,19.88071378,40.56408863,1.207712993,0.28341514,5993.14674,38.71459912,8501.731952,98.29025151,95.74185964,1/1/2019 1:30,,,,,,
GT4,gas,99.49889825,30.17728051,1,24.57699567,88.04899888,440.2449944,23.82552291,00:00-00:15,4.207874786,North,19.0418727,0.046599685,CityA,22,11,12,4,33.02927763,39.2643879,0.230065788,0.247007717,11874.22872,20.43443383,8629.454784,97.34004256,97.6449333,1/1/2019 1:30,,,,,,
GT5,gas,96.03384356,36.2512741,2,34.18429375,154.4417321,772.2086604,32.01001595,00:00-00:15,4.805065805,North,28.07652155,0.025881936,CityA,20,10,10,2,17.60697161,56.18911174,4.303130239,0.355960904,14519.62255,44.99443028,8435.879645,98.13637096,96.37212631,1/1/2019 1:30,,,,,,
GT6,gas,105.8680713,33.84185065,5,33.96637232,166.0758442,830.379221,30.93458411,00:00-00:15,4.594734701,North,34.58989772,0.010988416,CityA,22,11,6,4,22.62360075,46.58751648,3.011477851,0.320836792,7566.721676,27.62268797,8706.769924,95.34744518,97.03580045,1/1/2019 1:30,,,,,,
ST1,steam,74.81621663,25.95475857,2,17.26242167,48.19908943,240.9954472,17.10450823,00:00-00:15,4.791351426,North,19.88893124,0.035541409,CityA,23,10,13,0,18.03278376,69.61417631,2.653539426,0.230731016,12382.57971,36.51223744,8284.137153,98.90916574,98.30448512,1/1/2019 1:30,,,,,,
ST2,steam,62.0545467,34.50155969,2,17.48057359,36.49105651,182.4552825,16.93940277,00:00-00:15,3.349620579,North,19.46794511,0.010599996,CityA,19,11,11,1,23.38543113,61.14217732,3.495173861,0.281696902,8744.877868,28.86627083,8193.748689,98.44598571,98.42498805,1/1/2019 1:30,,,,,,
ST3,steam,72.81900627,33.29024662,1,21.33580729,55.46918183,277.3459091,21.13507645,00:00-00:15,2.577173219,North,21.59332748,0.045589205,CityA,17,14,5,3,33.06706178,58.88777533,4.540031233,0.292997781,12123.10736,22.05564666,8501.145337,96.95659942,97.72729638,1/1/2019 1:30,,,,,,
ST4,steam,58.22553348,27.81786238,3,13.84972785,29.52907692,147.6453846,13.47159286,00:00-00:15,1.84068379,North,12.23844532,0.023281343,CityA,15,10,11,4,25.67037864,45.53245943,1.422235989,0.237863477,11870.80561,28.7810694,8608.739228,96.04342242,95.43089044,1/1/2019 1:30,,,,,,
GT1,gas,115.6777636,39.97074282,4,38.74244566,135.3698307,676.8491535,35.83987737,00:00-00:15,3.381563532,North,39.01640381,0.038005213,CityA,23,9,10,0,23.0334249,68.08944407,1.244466871,0.334916966,12053.8556,40.50775571,8444.971037,98.03506744,95.96410425,1/1/2019 1:45,,,,,,
GT2,gas,116.5349527,35.32182959,2,40.37600254,138.1347835,690.6739175,36.3484016,00:00-00:15,3.493079367,North,33.29736367,0.014112315,CityA,17,14,13,1,24.22983631,32.34903004,4.481235522,0.34647118,8087.239919,47.25593354,8491.292464,98.21212019,95.63442228,1/1/2019 1:45,,,,,,
GT3,gas,111.4596055,34.64860015,1,37.86915601,147.3275595,736.6377974,34.14327785,00:00-00:15,2.446012617,North,30.40637599,0.020991837,CityA,22,13,8,2,27.12400085,45.68035759,2.792372593,0.339756774,11729.55936,21.50487329,8590.30127,96.19332236,97.07817772,1/1/2019 1:45,,,,,,
GT4,gas,89.78068131,33.07538886,5,25.08873913,108.8589254,544.2946272,24.55694502,00:00-00:15,3.931846947,North,25.0656459,0.038327761,CityA,23,13,7,0,17.58164315,54.38006408,4.031307776,0.27944474,5032.094757,37.37478424,8118.390129,95.94431941,96.93187922,1/1/2019 1:45,,,,,,
GT5,gas,101.506328,35.29124573,5,33.50791914,114.8903857,574.4519284,31.76489386,00:00-00:15,4.030462289,North,33.02304845,0.04919476,CityA,20,13,7,0,29.31351831,53.44956497,4.887577636,0.330106702,10492.63783,47.04549073,8760.78655,95.25686771,98.27068646,1/1/2019 1:45,,,,,,
GT6,gas,80.73116286,32.52382871,1,21.97938952,103.1088394,515.5441968,20.72727343,00:00-00:15,1.214015156,North,20.72914687,0.023663881,CityA,23,10,7,4,15.17459699,65.3156896,3.844907402,0.272254093,11854.794,30.33747747,8114.282499,95.25152578,95.09976465,1/1/2019 1:45,,,,,,
ST1,steam,50.02525842,30.90071395,2,12.77605581,44.97573103,224.8786552,11.56666033,00:00-00:15,1.619851525,North,10.02344261,0.038564576,CityA,17,10,9,0,15.5830388,43.47954564,0.546295063,0.2553921,12413.10694,38.32557324,8500.117225,95.04388578,95.92460175,1/1/2019 1:45,,,,,,
ST2,steam,91.79511191,31.98259736,5,28.84932625,92.16218521,460.810926,26.51373081,00:00-00:15,2.231227874,North,29.39847849,0.027613936,CityA,20,10,6,2,23.17359798,60.09325884,0.473944223,0.314279548,8463.456345,36.60704924,8058.649726,98.15675988,98.52964146,1/1/2019 1:45,,,,,,
ST3,steam,70.5798501,27.072065,5,17.76485436,48.65108158,243.2554079,16.41528374,00:00-00:15,3.65361761,North,17.52338321,0.042957022,CityA,16,7,14,0,30.39149603,46.68308636,3.920464871,0.251698669,7751.44177,28.3094509,8667.462484,98.50940042,98.14184299,1/1/2019 1:45,,,,,,
ST4,steam,67.28419343,34.07664372,4,21.2011054,64.94156447,324.7078224,20.39112556,00:00-00:15,4.169097912,North,20.74480498,0.039480349,CityA,15,10,13,2,22.00924945,44.17387821,2.462851293,0.315097861,5398.833808,38.560666,8668.442459,97.76791842,98.73193595,1/1/2019 1:45,,,,,,
GT1,gas,98.46522679,35.65104704,4,31.24466898,120.6278429,603.1392144,30.75702086,00:00-00:15,2.28150341,North,28.5912159,0.039314043,CityA,16,14,14,3,29.2572558,50.67039121,1.237774617,0.317316783,12797.45765,38.79661632,8749.430257,95.84889238,98.48215575,1/1/2019 2:00,,,,,,
GT2,gas,98.53829637,31.95400262,4,28.46767075,109.4041247,547.0206234,25.66255835,00:00-00:15,2.053965518,North,29.12986723,0.048496733,CityA,15,10,12,0,18.67029334,43.10424814,2.820477712,0.288899563,6221.242554,39.09060241,8631.514208,97.68313626,95.88472803,1/1/2019 2:00,,,,,,
GT3,gas,111.2271456,33.02543296,5,33.7579486,137.6039641,688.0198206,32.83956632,00:00-00:15,2.472496137,North,36.20178468,0.013980992,CityA,19,14,12,4,19.08983779,68.47459528,0.914391226,0.303504585,9399.919648,48.84909031,8739.827532,97.87164897,96.80104403,1/1/2019 2:00,,,,,,
GT4,gas,113.4689435,38.08360285,3,40.08326319,175.3474502,876.7372509,37.88371738,00:00-00:15,1.724210315,North,33.41132589,0.034374855,CityA,23,11,13,3,22.005916,60.09831141,3.117575946,0.353253163,10967.13841,40.50697328,8954.937102,98.973712,97.86680382,1/1/2019 2:00,,,,,,
GT5,gas,108.2543322,37.23251759,4,37.14588976,142.513538,712.5676899,34.24952492,00:00-00:15,1.113789183,North,31.72680757,0.030527147,CityA,21,14,6,2,26.79649219,49.08250539,2.668990792,0.343135365,6130.833259,27.22863368,8534.762287,98.12823192,98.72113658,1/1/2019 2:00,,,,,,
GT6,gas,95.76388095,39.27650035,3,32.3634231,134.1228131,670.6140657,31.28963428,00:00-00:15,2.280075876,North,33.33143859,0.028464612,CityA,18,6,12,3,31.11922824,36.07195853,1.450536573,0.337950204,14761.21289,24.29926666,8495.197733,95.99383146,95.14447772,1/1/2019 2:00,,,,,,
